system:time_start,ssm
"Sep 17, 2016",3.5
"Sep 20, 2016",3.074
"Sep 23, 2016",3.193
"Sep 26, 2016",2.534
"Sep 29, 2016",2.988
"Oct 2, 2016",11.133
"Oct 5, 2016",11.298
"Oct 8, 2016",8.284
"Oct 11, 2016",6.336
"Oct 14, 2016",5.175
"Oct 17, 2016",4.785
"Oct 20, 2016",3.589
"Oct 23, 2016",2.884
"Oct 26, 2016",3.177
"Oct 29, 2016",2.677
"Nov 1, 2016",3.22
"Nov 4, 2016",2.907
"Nov 7, 2016",3.485
"Nov 10, 2016",3.875
"Nov 13, 2016",12.852
"Nov 16, 2016",15.846
"Nov 19, 2016",23.52
"Nov 22, 2016",13.741
"Nov 25, 2016",9.32
"Nov 28, 2016",11.921
"Dec 1, 2016",7.057
"Dec 4, 2016",5.799
"Dec 7, 2016",5.448
"Dec 10, 2016",17.312
"Dec 13, 2016",23.451
"Dec 16, 2016",24.344
"Dec 19, 2016",24.208
"Dec 22, 2016",19.178
"Dec 25, 2016",25.4
"Dec 28, 2016",17.718
"Dec 31, 2016",19.625
"Jan 3, 2017",25.114
"Jan 6, 2017",22.63
"Jan 9, 2017",25.136
"Jan 12, 2017",24.067
"Jan 15, 2017",25.367
"Jan 18, 2017",25.4
"Jan 21, 2017",25.4
"Jan 24, 2017",21.468
"Jan 27, 2017",22.773
"Jan 30, 2017",16.078
"Feb 2, 2017",13.116
"Feb 5, 2017",19.417
"Feb 8, 2017",12.944
"Feb 11, 2017",15.167
"Feb 14, 2017",14.098
"Feb 17, 2017",18.095
"Feb 20, 2017",10.211
"Feb 23, 2017",9.051
"Feb 26, 2017",18.13
"Mar 1, 2017",20
"Mar 4, 2017",21.858
"Mar 7, 2017",18.686
"Mar 10, 2017",16.132
"Mar 13, 2017",14.071
"Mar 16, 2017",11.249
"Mar 19, 2017",17.866
"Mar 22, 2017",20.716
"Mar 25, 2017",20.815
"Mar 28, 2017",15.806
"Mar 31, 2017",13.079
"Apr 3, 2017",11.517
"Apr 6, 2017",10.605
"Apr 9, 2017",8.794
"Apr 12, 2017",7.892
"Apr 15, 2017",16.482
"Apr 18, 2017",10.934
"Apr 21, 2017",9.444
"Apr 24, 2017",10.917
"Apr 27, 2017",12.59
"Apr 30, 2017",13.04
"May 3, 2017",12.978
"May 6, 2017",11.612
"May 9, 2017",9.829
"May 12, 2017",9.112
"May 15, 2017",11.292
"May 18, 2017",13.869
"May 21, 2017",12.525
"May 24, 2017",10.707
"May 27, 2017",10.034
"May 30, 2017",9.54
"Jun 2, 2017",6.875
"Jun 5, 2017",5.835
"Jun 8, 2017",5.14
"Jun 11, 2017",6.001
"Jun 14, 2017",5.132
"Jun 17, 2017",5.39
"Jun 20, 2017",5.839
"Jun 23, 2017",4.849
"Jun 26, 2017",4.317
"Jun 29, 2017",3.512
"Jul 2, 2017",3.531
"Jul 5, 2017",6.852
"Jul 8, 2017",5.908
"Jul 11, 2017",6.163
"Jul 14, 2017",4.805
"Jul 17, 2017",5.312
"Jul 20, 2017",4.845
"Jul 23, 2017",4.145
"Jul 26, 2017",3.88
"Jul 29, 2017",6.214
"Aug 1, 2017",7.525
"Aug 4, 2017",7.562
"Aug 7, 2017",6.498
"Aug 10, 2017",5.486
"Aug 13, 2017",4.089
"Aug 16, 2017",3.511
"Aug 19, 2017",3.156
"Aug 22, 2017",2.97
"Aug 25, 2017",2.697
"Aug 28, 2017",2.43
"Aug 31, 2017",2.457
"Sep 3, 2017",2.67
"Sep 6, 2017",2.259
"Sep 9, 2017",2.117
"Sep 12, 2017",2.133
"Sep 15, 2017",2.117
"Sep 18, 2017",2.117
"Sep 21, 2017",2.117
"Sep 24, 2017",2.821
"Sep 27, 2017",3.775
"Sep 30, 2017",3.229
"Oct 3, 2017",2.388
"Oct 6, 2017",2.202
"Oct 9, 2017",7.105
"Oct 12, 2017",8.186
"Oct 15, 2017",5.704
"Oct 18, 2017",3.282
"Oct 21, 2017",2.905
"Oct 24, 2017",2.228
"Oct 27, 2017",3.044
"Oct 30, 2017",8.257
"Nov 2, 2017",8.362
"Nov 5, 2017",5.585
"Nov 8, 2017",5.056
"Nov 11, 2017",15.036
"Nov 14, 2017",12.012
"Nov 17, 2017",17.524
"Nov 20, 2017",13.691
"Nov 23, 2017",10.363
"Nov 26, 2017",10.472
"Nov 29, 2017",11.534
"Dec 2, 2017",6.193
"Dec 5, 2017",4.427
"Dec 8, 2017",10.699
"Dec 11, 2017",7.176
"Dec 14, 2017",13.851
"Dec 17, 2017",5.682
"Dec 20, 2017",17.281
"Dec 23, 2017",25.4
"Dec 26, 2017",24.504
"Dec 29, 2017",16.588
"Jan 1, 2018",17.152
"Jan 4, 2018",14.015
"Jan 7, 2018",8.511
"Jan 10, 2018",11.241
"Jan 13, 2018",8.387
"Jan 16, 2018",6.963
"Jan 19, 2018",8.859
"Jan 22, 2018",6.234
"Jan 25, 2018",4.597
"Jan 28, 2018",8.373
"Jan 31, 2018",15.349
"Feb 3, 2018",22.933
"Feb 6, 2018",19.704
"Feb 9, 2018",21.807
"Feb 12, 2018",24.615
"Feb 15, 2018",21.149
"Feb 18, 2018",22.719
"Feb 21, 2018",22.106
"Feb 24, 2018",17.922
"Feb 27, 2018",23.133
"Mar 2, 2018",18.706
"Mar 5, 2018",16.593
"Mar 8, 2018",16.356
"Mar 11, 2018",14.807
"Mar 14, 2018",15.99
"Mar 17, 2018",10.599
"Mar 20, 2018",9.616
"Mar 23, 2018",7.568
"Mar 26, 2018",12.933
"Mar 29, 2018",12.853
"Apr 1, 2018",12.368
"Apr 4, 2018",8.357
"Apr 7, 2018",13.303
"Apr 10, 2018",11.782
"Apr 13, 2018",9.062
"Apr 16, 2018",10.127
"Apr 19, 2018",11.967
"Apr 22, 2018",11.957
"Apr 25, 2018",9.361
"Apr 28, 2018",7.579
"May 1, 2018",6.474
"May 4, 2018",6.197
"May 7, 2018",6.832
"May 10, 2018",5.786
"May 13, 2018",5.068
"May 16, 2018",8.112
"May 19, 2018",12.504
"May 22, 2018",9.43
"May 25, 2018",7.915
"May 28, 2018",6.852
"May 31, 2018",6.741
"Jun 3, 2018",5.997
"Jun 6, 2018",5.154
"Jun 9, 2018",4.918
"Jun 12, 2018",4.524
"Jun 15, 2018",3.82
"Jun 18, 2018",3.79
"Jun 21, 2018",3.909
"Jun 24, 2018",4.378
"Jun 27, 2018",3.551
"Jun 30, 2018",3.35
"Jul 3, 2018",3.793
"Jul 6, 2018",9.905
"Jul 9, 2018",14.595
"Jul 12, 2018",12.941
"Jul 15, 2018",15.256
"Jul 18, 2018",14.305
"Jul 21, 2018",11.702
"Jul 24, 2018",12.443
"Jul 27, 2018",10.79
"Jul 30, 2018",8.935
"Aug 2, 2018",7.761
"Aug 5, 2018",6.719
"Aug 8, 2018",5.695
"Aug 11, 2018",4.596
"Aug 14, 2018",3.992
"Aug 17, 2018",3.719
"Aug 20, 2018",3.552
"Aug 23, 2018",2.948
"Aug 26, 2018",2.792
"Aug 29, 2018",3.201
"Sep 1, 2018",2.839
"Sep 4, 2018",2.603
"Sep 7, 2018",2.725
"Sep 10, 2018",2.611
"Sep 13, 2018",2.235
"Sep 16, 2018",2.129
"Sep 19, 2018",2.117
"Sep 22, 2018",2.117
"Sep 25, 2018",2.117
"Sep 28, 2018",2.117
"Oct 1, 2018",3.103
"Oct 4, 2018",2.402
"Oct 7, 2018",2.121
"Oct 10, 2018",2.117
"Oct 13, 2018",2.117
"Oct 16, 2018",2.117
"Oct 19, 2018",5.987
"Oct 22, 2018",5.29
"Oct 25, 2018",3.205
"Oct 28, 2018",2.303
"Oct 31, 2018",2.117
"Nov 3, 2018",2.542
"Nov 6, 2018",2.363
"Nov 9, 2018",2.349
"Nov 12, 2018",2.431
"Nov 15, 2018",2.213
"Nov 18, 2018",2.117
"Nov 21, 2018",9.878
"Nov 24, 2018",14.814
"Nov 27, 2018",19.545
"Nov 30, 2018",20.256
"Dec 3, 2018",14.234
"Dec 6, 2018",11.86
"Dec 9, 2018",21.338
"Dec 12, 2018",15.454
"Dec 15, 2018",15.814
"Dec 18, 2018",9.812
"Dec 21, 2018",14.661
"Dec 24, 2018",12.813
"Dec 27, 2018",14.829
"Dec 30, 2018",13.068
"Jan 2, 2019",15.718
"Jan 5, 2019",22.91
"Jan 8, 2019",19.66
"Jan 11, 2019",15.361
"Jan 14, 2019",19.487
"Jan 17, 2019",22.428
"Jan 20, 2019",23.753
"Jan 23, 2019",21.12
"Jan 26, 2019",15.729
"Jan 29, 2019",12.127
"Feb 1, 2019",9.085
"Feb 4, 2019",11.567
"Feb 7, 2019",6.835
"Feb 10, 2019",5.466
"Feb 13, 2019",17.268
"Feb 16, 2019",19.15
"Feb 19, 2019",14.618
"Feb 22, 2019",10.066
"Feb 25, 2019",6.046
"Feb 28, 2019",4.578
"Mar 3, 2019",3.969
"Mar 6, 2019",8.398
"Mar 9, 2019",7.372
"Mar 12, 2019",5.63
"Mar 15, 2019",25.4
"Mar 18, 2019",24.555
"Mar 21, 2019",22.96
"Mar 24, 2019",20.664
"Mar 27, 2019",20.6
"Mar 30, 2019",15.871
"Apr 2, 2019",13.342
"Apr 5, 2019",9.539
"Apr 8, 2019",8
"Apr 11, 2019",7.05
"Apr 14, 2019",8.427
"Apr 17, 2019",20.742
"Apr 20, 2019",16.15
"Apr 23, 2019",13.62
"Apr 26, 2019",11.08
"Apr 29, 2019",9.335
"May 2, 2019",7.877
"May 5, 2019",6.513
"May 8, 2019",5.077
"May 11, 2019",4.667
"May 14, 2019",3.802
"May 17, 2019",3.584
