system:time_start,ssm
"Sep 17, 2016",3.315
"Sep 20, 2016",3.437
"Sep 23, 2016",2.949
"Sep 26, 2016",2.845
"Sep 29, 2016",3.66
"Oct 2, 2016",3.365
"Oct 5, 2016",3.22
"Oct 8, 2016",3.479
"Oct 11, 2016",3.856
"Oct 14, 2016",3.767
"Oct 17, 2016",10.054
"Oct 20, 2016",21.097
"Oct 23, 2016",21.552
"Oct 26, 2016",10.661
"Oct 29, 2016",5.752
"Nov 1, 2016",11.063
"Nov 4, 2016",4.673
"Nov 7, 2016",14.041
"Nov 10, 2016",20.486
"Nov 13, 2016",20.61
"Nov 16, 2016",13.388
"Nov 19, 2016",13.79
"Nov 22, 2016",15.066
"Nov 25, 2016",18.967
"Nov 28, 2016",8.253
"Dec 1, 2016",7.084
"Dec 4, 2016",7.554
"Dec 7, 2016",9.533
"Dec 10, 2016",13.893
"Dec 13, 2016",9.628
"Dec 16, 2016",11.247
"Dec 19, 2016",13.82
"Dec 22, 2016",12.072
"Dec 25, 2016",14.708
"Dec 28, 2016",20.294
"Dec 31, 2016",16.402
"Jan 3, 2017",8.344
"Jan 6, 2017",13.975
"Jan 9, 2017",21.756
"Jan 12, 2017",19.298
"Jan 15, 2017",14.572
"Jan 18, 2017",11.66
"Jan 21, 2017",17.205
"Jan 24, 2017",19.893
"Jan 27, 2017",25.329
"Jan 30, 2017",25.108
"Feb 2, 2017",20.365
"Feb 5, 2017",15.599
"Feb 8, 2017",14.858
"Feb 11, 2017",12.534
"Feb 14, 2017",11.16
"Feb 17, 2017",8.275
"Feb 20, 2017",16.753
"Feb 23, 2017",11.624
"Feb 26, 2017",13.896
"Mar 1, 2017",14.511
"Mar 4, 2017",20.085
"Mar 7, 2017",14.302
"Mar 10, 2017",10.697
"Mar 13, 2017",7.877
"Mar 16, 2017",8.307
"Mar 19, 2017",11.899
"Mar 22, 2017",8.639
"Mar 25, 2017",6.839
"Mar 28, 2017",5.85
"Mar 31, 2017",5.349
"Apr 3, 2017",5.451
"Apr 6, 2017",7.265
"Apr 9, 2017",11.307
"Apr 12, 2017",11.313
"Apr 15, 2017",13.46
"Apr 18, 2017",11.465
"Apr 21, 2017",9.85
"Apr 24, 2017",9.966
"Apr 27, 2017",8.428
"Apr 30, 2017",6.777
"May 3, 2017",6.73
"May 6, 2017",5.374
"May 9, 2017",5.475
"May 12, 2017",7.481
"May 15, 2017",9.399
"May 18, 2017",8.797
"May 21, 2017",7.593
"May 24, 2017",6.951
"May 27, 2017",6.591
"May 30, 2017",5.535
"Jun 2, 2017",4.503
"Jun 5, 2017",4.537
"Jun 8, 2017",4.246
"Jun 11, 2017",4.101
"Jun 14, 2017",3.759
"Jun 17, 2017",4.165
"Jun 20, 2017",3.967
"Jun 23, 2017",3.913
"Jun 26, 2017",4.072
"Jun 29, 2017",3.697
"Jul 2, 2017",3.773
"Jul 5, 2017",3.93
"Jul 8, 2017",6.843
"Jul 11, 2017",7.053
"Jul 14, 2017",5.842
"Jul 17, 2017",5.307
"Jul 20, 2017",4.264
"Jul 23, 2017",4.137
"Jul 26, 2017",3.893
"Jul 29, 2017",3.849
"Aug 1, 2017",3.132
"Aug 4, 2017",2.741
"Aug 7, 2017",3.25
"Aug 10, 2017",3.916
"Aug 13, 2017",3.466
"Aug 16, 2017",3.423
"Aug 19, 2017",2.969
"Aug 22, 2017",3.121
"Aug 25, 2017",3.354
"Aug 28, 2017",2.745
"Aug 31, 2017",3.121
"Sep 3, 2017",2.788
"Sep 6, 2017",3.129
"Sep 9, 2017",3.33
"Sep 12, 2017",3.619
"Sep 15, 2017",3.34
"Sep 18, 2017",3.006
"Sep 21, 2017",3.012
"Sep 24, 2017",3.008
"Sep 27, 2017",2.843
"Sep 30, 2017",3.733
"Oct 3, 2017",4.08
"Oct 6, 2017",10.02
"Oct 9, 2017",10.215
"Oct 12, 2017",7.44
"Oct 15, 2017",4.146
"Oct 18, 2017",3.319
"Oct 21, 2017",3.302
"Oct 24, 2017",2.626
"Oct 27, 2017",3.618
"Oct 30, 2017",2.743
"Nov 2, 2017",2.508
"Nov 5, 2017",2.419
"Nov 8, 2017",4.372
"Nov 11, 2017",4.497
"Nov 14, 2017",4.884
"Nov 17, 2017",3.237
"Nov 20, 2017",3.089
"Nov 23, 2017",4.872
"Nov 26, 2017",9.029
"Nov 29, 2017",7.532
"Dec 2, 2017",6.825
"Dec 5, 2017",20.708
"Dec 8, 2017",17.572
"Dec 11, 2017",17.929
"Dec 14, 2017",12.566
"Dec 17, 2017",5.945
"Dec 20, 2017",7.541
"Dec 23, 2017",10.426
"Dec 26, 2017",6.153
"Dec 29, 2017",4.305
"Jan 1, 2018",3.556
"Jan 4, 2018",2.539
"Jan 7, 2018",2.421
"Jan 10, 2018",2.45
"Jan 13, 2018",2.419
"Jan 16, 2018",2.594
"Jan 19, 2018",2.516
"Jan 22, 2018",2.77
"Jan 25, 2018",8.824
"Jan 28, 2018",7.825
"Jan 31, 2018",9.217
"Feb 3, 2018",9.343
"Feb 6, 2018",6.538
"Feb 9, 2018",5.567
"Feb 12, 2018",3.65
"Feb 15, 2018",3.153
"Feb 18, 2018",9.295
"Feb 21, 2018",18.521
"Feb 24, 2018",18.792
"Feb 27, 2018",17.14
"Mar 2, 2018",12.438
"Mar 5, 2018",9.199
"Mar 8, 2018",6.712
"Mar 11, 2018",6.188
"Mar 14, 2018",4.213
"Mar 17, 2018",15.663
"Mar 20, 2018",15.238
"Mar 23, 2018",21.014
"Mar 26, 2018",16.264
"Mar 29, 2018",11.982
"Apr 1, 2018",15.697
"Apr 4, 2018",13.776
"Apr 7, 2018",10.921
"Apr 10, 2018",10.835
"Apr 13, 2018",8.827
"Apr 16, 2018",6.644
"Apr 19, 2018",5.933
"Apr 22, 2018",5.372
"Apr 25, 2018",4.43
"Apr 28, 2018",4.222
"May 1, 2018",4.619
"May 4, 2018",4.682
"May 7, 2018",3.879
"May 10, 2018",3.618
"May 13, 2018",3.435
"May 16, 2018",4.801
