system:time_start,ssm
"Sep 17, 2016",3.473
"Sep 20, 2016",9.972
"Sep 23, 2016",5.003
"Sep 26, 2016",6.084
"Sep 29, 2016",4.874
"Oct 2, 2016",4.889
"Oct 5, 2016",4.945
"Oct 8, 2016",4.151
"Oct 11, 2016",4.347
"Oct 14, 2016",3.75
"Oct 17, 2016",3.518
"Oct 20, 2016",3.571
"Oct 23, 2016",3.543
"Oct 26, 2016",3.224
"Oct 29, 2016",2.986
"Nov 1, 2016",2.849
"Nov 4, 2016",2.953
"Nov 7, 2016",3.094
"Nov 10, 2016",2.792
"Nov 13, 2016",2.63
"Nov 16, 2016",2.703
"Nov 19, 2016",2.731
"Nov 22, 2016",2.794
"Nov 25, 2016",2.67
"Nov 28, 2016",2.534
"Dec 1, 2016",2.437
"Dec 4, 2016",2.346
"Dec 7, 2016",2.293
"Dec 10, 2016",2.269
"Dec 13, 2016",2.341
"Dec 16, 2016",2.185
"Dec 19, 2016",2.142
"Dec 22, 2016",2.129
"Dec 25, 2016",2.095
"Dec 28, 2016",2.073
"Dec 31, 2016",2.073
"Jan 3, 2017",2.073
"Jan 6, 2017",2.073
"Jan 9, 2017",2.073
"Jan 12, 2017",2.073
"Jan 15, 2017",2.073
"Jan 18, 2017",2.073
"Jan 21, 2017",2.073
"Jan 24, 2017",2.073
"Jan 27, 2017",2.073
"Jan 30, 2017",2.17
"Feb 2, 2017",2.073
"Feb 5, 2017",2.073
"Feb 8, 2017",2.073
"Feb 11, 2017",2.073
"Feb 14, 2017",2.073
"Feb 17, 2017",2.073
"Feb 20, 2017",2.073
"Feb 23, 2017",2.203
"Feb 26, 2017",2.073
"Mar 1, 2017",2.073
"Mar 4, 2017",2.073
"Mar 7, 2017",2.082
"Mar 10, 2017",2.073
"Mar 13, 2017",2.073
"Mar 16, 2017",2.785
"Mar 19, 2017",2.194
"Mar 22, 2017",2.113
"Mar 25, 2017",5.46
"Mar 28, 2017",6.484
"Mar 31, 2017",4.399
"Apr 3, 2017",3.83
"Apr 6, 2017",3.764
"Apr 9, 2017",3.515
"Apr 12, 2017",3.122
"Apr 15, 2017",3.109
"Apr 18, 2017",5.961
"Apr 21, 2017",3.582
"Apr 24, 2017",3.289
"Apr 27, 2017",3.449
"Apr 30, 2017",3.706
"May 3, 2017",3.607
